H_Id,Name,Location,Contact
101,New York General Hospital,"New York, NY",212-555-1234
102,Los Angeles Medical Center,"Los Angeles, CA",213-555-5678
103,Chicago Community Clinic,"Chicago, IL",312-555-9876
104,Houston Rural Hospital,"Houston, TX",713-555-8765
105,Miami Sunset Hospital,"Miami, FL",305-555-2345
106,San Francisco General Hospital,"San Francisco, CA",415-555-8765
107,Dallas Medical Center,"Dallas, TX",214-555-9876
108,Philadelphia Community Clinic,"Philadelphia, PA",215-555-3456
109,Seattle Coastal Hospital,"Seattle, WA",206-555-6789
110,Boston Memorial Hospital,"Boston, MA",617-555-4321
