I_Id,V_Id,H_Id,Quantity,Expiration_Date
INV001,100001,101,3210,2024-04-15
INV002,100002,102,4550,2024-09-30
INV003,100003,103,2760,2025-02-20
INV004,100004,104,4020,2024-07-10
INV005,100005,105,3440,2026-11-05
INV006,100006,106,4980,2025-12-31
INV007,100007,107,2940,2024-08-15
INV008,100008,108,4370,2024-03-05
INV009,100009,109,3450,2026-05-20
INV010,100010,110,4690,2026-10-10
INV011,100011,101,2460,2025-11-30
INV012,100012,109,3730,2024-06-25
INV013,100013,103,2920,2026-02-15
INV014,100014,104,4230,2024-05-10
INV015,100015,109,3600,2024-12-20
INV016,100016,106,4810,2025-08-05
INV017,100017,107,2140,2026-03-31
INV018,100018,108,4630,2025-07-15
INV019,100019,109,2950,2024-04-10
INV020,100020,110,3750,2026-09-30
INV021,100021,101,4120,2024-10-20
INV022,100022,101,4570,2026-06-15
INV023,100023,103,2360,2025-01-10
INV024,100024,104,4920,2025-03-25
INV025,100025,105,4060,2026-11-30
INV026,100026,106,3800,2024-09-15
INV027,100027,107,4310,2026-01-05
INV028,100028,108,4780,2026-12-31
INV029,100029,101,3660,2025-04-20
INV030,100030,101,4170,2026-04-10
INV031,100031,101,3520,2024-03-15
INV032,100032,108,4930,2025-05-10
INV033,100033,103,2720,2026-08-25
INV034,100034,105,4210,2026-07-10
INV035,100035,104,4820,2024-01-31
