Mu_Rc_Id,Name,Contact
1000000015,MediUni College of Medicine,mediuni@example.com
1000000016,HealthSci University School of Medicine,healthsci@example.com
1000000017,LifeTech Medical School,lifetech@example.com
1000000018,PharmaMed College of Health Sciences,pharmamed@example.com
1000000019,BioMed University Medical College,biomed@example.com
1000000021,GenoMed University School of Medicine,genomed@example.com
1000000022,MediQuest Medical College,mediquest@example.com
1000000023,BioTech Health Sciences University,biotech@example.com
1000000024,LifeQuest Medical School,lifequest@example.com
1000000025,PharmaGen Medical University,pharmagen@example.com
1000000026,BioLife School of Medicine,biolife@example.com
1000000027,HealthTech Medical College,healthtech@example.com
1000000028,MediGen Medical University,medigen@example.com
1000000029,InnoLab College of Medicine,innolab@example.com
1000000035,InnoHealth Medical School,innohealth@example.com
