C_Id,H_Id,Name,Contact
1001,101,Pfizer,contact@pfizer.com
1002,102,Johnson & Johnson,contact@jnj.com
1003,103,Merck,contact@merck.com
1004,104,Novartis,contact@novartis.com
1005,105,Roche,contact@roche.com
1006,106,GlaxoSmithKline,contact@gsk.com
1007,107,AstraZeneca,contact@astrazeneca.com
1008,108,Sanofi,contact@sanofi.com
1009,109,Eli Lilly,contact@elililly.com
1010,110,Abbott Laboratories,contact@abbott.com
1011,101,Bristol-Myers Squibb,contact@bms.com
1012,102,Gilead Sciences,contact@gilead.com
1013,103,Amgen,contact@amgen.com
1014,104,Biogen,contact@biogen.com
1015,109,Genentech,contact@genentech.com
1016,107,Mylan,contact@mylan.com
1017,107,Teva Pharmaceuticals,contact@teva.com
1018,108,Pfizer,contact@pfizer.com
1019,109,Johnson & Johnson,contact@jnj.com
1020,109,Merck,contact@merck.com
1021,109,Novartis,contact@novartis.com
1022,101,Roche,contact@roche.com
1023,102,GlaxoSmithKline,contact@gsk.com
1024,104,AstraZeneca,contact@astrazeneca.com
1025,105,Sanofi,contact@sanofi.com
1026,106,Eli Lilly,contact@elililly.com
1027,107,Abbott Laboratories,contact@abbott.com
1028,108,Bristol-Myers Squibb,contact@bms.com
1029,109,Gilead Sciences,contact@gilead.com
1030,104,Amgen,contact@amgen.com
