Prl_Rc_Id,Name,Contact
1000000001,InnoLab Innovations Inc.,innolab@example.com
1000000002,BioTech Research Group,biotech@example.com
1000000003,MediGen Innovations Labs,medigen@example.com
1000000004,LifeQuest Sciences Inc.,lifequest@example.com
1000000005,PharmaGen Solutions Group,pharmagen@example.com
1000000006,BioLife Innovations Corp.,biolife@example.com
1000000007,HealthTech Labs Research,healthtechlabs@example.com
1000000008,MediQuest Innovations Group,mediquest@example.com
1000000009,GenoMed Research Labs,genomed@example.com
1000000010,InnoHealth Labs Solutions,innohealth@example.com
